ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,metadata,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count
False,2018-11-29 09:30:29.158911,,https://www.usatoday.com/story/travel/destinations/2018/11/29/wildlife-vacations-10-ultimate-trips-animal-lovers/2140664002/,en,4,USA Today,http://www.usatoday.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1435474783,2018-11-29 08:05:14,1097241691,[],Wildlife vacations: The 10 ultimate trips for animal lovers,http://rssfeeds.usatoday.com/~/582854256/0/usatodaycomtravel-topstories~Wildlife-vacations-The-ultimate-trips-for-animal-lovers/,
False,2018-12-03 18:25:54.617806,,5c0560fc64aaf961d7572f10,en,1104,Forbes,http://www.forbes.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1438748042,2018-12-03 18:04:00,1106515356,[],16 Outstanding Wildlife Photographer Of The Year Finalists: Vote For The Best,https://www.forbes.com/sites/ceciliarodriguez/2018/12/03/16-outstanding-wildlife-photographer-of-the-year-finalists-vote-for-the-best/,
False,2018-12-08 16:55:25.873316,,https://www.inquisitr.com/?p=5200494,en,26924,Inquisitr,http://www.inquisitr.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1442500628,2018-12-08 15:28:20,1114801135,[],NASA&#8217;s VISIONS-2 Rockets Take To Space To Photograph Earth&#8217;s Leaky Atmosphere,https://www.inquisitr.com/5200494/nasas-visions-2-rockets-takes-to-space-to-photograph-earths-leaky-atmosphere/,
False,2018-12-12 12:36:24.019781,,a459aa92-af5e-411c-970d-0b1255c2bce9,en,39330,zdnet,http://news.zdnet.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1445226685,2018-12-12 11:27:00,1117696703,[],The world's most important cold storage facility safeguards the future of food,https://www.zdnet.com/article/the-worlds-most-important-cold-storage-facility-safeguards-the-future-of-food/#ftag=RSSbaffb68,
False,2018-12-14 09:21:00.311332,,http://variety.com/?p=1203060853,en,19076,variety.com,http://www.variety.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1446842844,2018-12-14 09:19:09,1119406313,[],Les Arcs&#8217;s Co-Production Village Kicks Off 10th Edition,https://variety.com/2018/film/news/les-arcss-co-production-village-kicks-off-10th-edition-1203060853/,
False,2018-12-15 13:35:50.729011,,https://www.inquisitr.com/?p=5210655,en,26924,Inquisitr,http://www.inquisitr.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1447839000,2018-12-15 13:25:09,1120149542,[],TRICE-2: NASA Sends Another Pair Of Sounding Rockets Into Earth&#8217;s Polar Cusp,https://www.inquisitr.com/5210655/trice-2-nasa-sounding-rockets-polar-cusp/,
False,2018-12-16 19:42:58.998269,,https://www.providencejournal.com/news/20181216/east-greenwich-boy-starts-campaign-to-fund-newspaper-after-eye-opening-visit-to-norway,en,68874,providencejournal.com,http://www.providencejournal.com/#spider,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1448008578,2018-12-16 19:36:30,1120723568,[],East Greenwich boy starts campaign to fund newspaper after eye-opening visit to Norway,https://www.providencejournal.com/news/20181216/east-greenwich-boy-starts-campaign-to-fund-newspaper-after-eye-opening-visit-to-norway?rssfeed=true,
False,2018-12-24 12:25:32.430198,,https://www.newsweek.com/car-thief-norway-trapped-car-locked-escape-rescue-1270377,en,1098,Newsweek ,http://www.newsweek.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1452410454,2018-12-24 10:01:29,1125318430,[],"Thief Gets Trapped in Car Mid-robbery, Calls Police for Rescue",https://www.newsweek.com/car-thief-norway-trapped-car-locked-escape-rescue-1270377?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,
False,2018-12-24 10:37:23.564375,,https://www.theguardian.com/world/2018/dec/24/norwegian-car-thief-calls-police-from-inside-vehicle-he-was-trying-to-steal,en,1751,Guardian US,https://www.theguardian.com/us,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1453203810,2018-12-24 07:43:19,1125288914,[],Would-be thief calls police from inside car he was trying to steal,https://www.theguardian.com/world/2018/dec/24/norwegian-car-thief-calls-police-from-inside-vehicle-he-was-trying-to-steal,
False,2018-12-22 03:29:31.459621,,https://www.theguardian.com/world/2018/dec/21/svalbard-bank-robbery-first-ever-norway,en,623382,Guardian,http://www.theguardian.com/us,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1453455514,2018-12-21 14:32:57,1124146108,[],Cold case: world’s northernmost settlement sees first bank robbery,https://www.theguardian.com/world/2018/dec/21/svalbard-bank-robbery-first-ever-norway,
False,2018-12-24 06:35:21.309240,,https://www.nytimes.com/2018/12/24/science/reindeer-body-clock.html,en,1,New York Times,http://nytimes.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1453487758,2018-12-24 10:00:08,1125197555,[],Perhaps Santa Had to Shout to His Eight Reindeer Because They Fell Asleep,https://www.nytimes.com/2018/12/24/science/reindeer-body-clock.html,
False,2018-12-24 16:51:17.495280,,https://www.businessinsider.com/man-arrested-first-ever-bank-robbery-on-island-by-north-pole-2018-12?utm_source=feedburner&amp;utm_medium=referral,en,18710,Business Insider,http://www.businessinsider.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1455261830,2018-12-24 10:40:37,1125386980,[],Man arrested after first-ever bank robbery hit the closest town to the North Pole,http://feedproxy.google.com/~r/businessinsider/~3/URTnyDQyU_M/man-arrested-first-ever-bank-robbery-on-island-by-north-pole-2018-12,
False,2019-01-02 03:16:57.995188,,https://www.theguardian.com/culture/2019/jan/02/turning-water-into-wine-how-did-simple-h2o-become-a-luxury-commodity,en,1751,Guardian US,https://www.theguardian.com/us,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1455768109,2019-01-01 21:27:20,1129223324,[],Turning water into wine: how did simple H2O become a luxury commodity?,https://www.theguardian.com/culture/2019/jan/02/turning-water-into-wine-how-did-simple-h2o-become-a-luxury-commodity,
False,2019-01-03 12:00:12.868777,,https://www.newyorker.com/tech/annals-of-technology/cary-fowlers-seed-crusade-goes-to-the-movies,en,1101,New Yorker,http://www.newyorker.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1456736627,2019-01-03 12:00:12.868127,1132496302,[],Cary Fowler’s Seed Crusade Goes to the Movies,https://www.newyorker.com/tech/annals-of-technology/cary-fowlers-seed-crusade-goes-to-the-movies,
False,2019-01-04 04:08:27.149219,,https://www.washingtonpost.com/lifestyle/travel/travel-deals-new-york-city-specials-on-a-hotel-broadway-shows-and-attractions/2019/01/03/988cf0e2-05fd-11e9-9122-82e98f91ee6f_story.html,en,2,Washington Post,http://washingtonpost.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",1457781143,2019-01-03 12:13:45,1134973577,[],"Travel deals: New York City specials on a hotel, Broadway shows and attractions",https://www.washingtonpost.com/lifestyle/travel/travel-deals-new-york-city-specials-on-a-hotel-broadway-shows-and-attractions/2019/01/03/988cf0e2-05fd-11e9-9122-82e98f91ee6f_story.html,
